Time,vehicle_local_positionax,vehicle_local_positionay,vehicle_local_positionaz,timestamp_ms,vehicle_local_positiontimestamp_sample,vehicle_local_positionvx,vehicle_local_positionvy,vehicle_local_positionvz,vehicle_local_positionx,vehicle_local_positiony,vehicle_local_positionz,vehicle_local_position_setpointacceleration00,vehicle_local_position_setpointacceleration01,vehicle_local_position_setpointacceleration02,vehicle_local_position_setpointvx,vehicle_local_position_setpointvy,vehicle_local_position_setpointvz,vehicle_local_position_setpointx,vehicle_local_position_setpointy,vehicle_local_position_setpointz
2.6 sec,-0.212100208333333,0.579705291666667,0.195784,312628,312628000,-0.0745072083333333,0.0513203333333333,0.0550009583333333,14.0673017916667,0.643383125,-5.10891445833333,-0.082829125,1.33947325,-0.0391023333333333,-0.124122708333333,0.183059666666667,0.063428375,14.0189541666667,0.680078583333333,-5.08292775
2.7 sec,-0.141260384615385,1.07289069230769,-0.0144529230769231,312728,312728000,-0.093692,0.134923923076923,0.0600139230769231,14.0600408461538,0.651993461538462,-5.105373,-0.103337153846154,1.741317,-0.0691032307692308,-0.12841,0.324018,0.0664132307692308,14.0112415384615,0.700649769230769,-5.07917015384615
2.8 sec,-0.0499631666666667,1.474985,-0.0986030833333333,312828,312828000,-0.102388625,0.259794333333333,0.0544119166666667,14.0519672916667,0.668282291666667,-5.10180895833333,-0.0941820416666667,2.155400625,-0.059121625,-0.135224875,0.505833375,0.068377875,14.0030255416667,0.734791375,-5.07521195833333
2.9 sec,-0.0236170769230769,1.77465115384615,-0.139934076923077,312928,312928000,-0.104776461538462,0.421800230769231,0.0424163076923077,14.043485,0.698334230769231,-5.09864730769231,-0.0632836923076923,2.59071307692308,-0.00960446153846154,-0.136074153846154,0.728817846153846,0.0692613846153846,13.9944758461538,0.786936615384615,-5.07120376923077
3 sec,-0.036669625,2.10027,-0.135646375,313028,313028000,-0.106714416666667,0.613451458333333,0.0287699166666667,14.0343081666667,0.746059791666667,-5.09623104166667,-0.0498324166666667,3.03977083333333,0.054803375,-0.1343175,0.986659708333333,0.0703917083333333,13.98601475,0.858598125,-5.0672485
3.1 sec,-0.017419,2.43872307692308,-0.109997384615385,313128,313128000,-0.108210538461538,0.836834230769231,0.0161489230769231,14.0244524615385,0.816173461538461,-5.09479461538462,-0.0431754615384615,3.38526769230769,0.121214,-0.131587692307692,1.27903969230769,0.0723670769230769,13.9777486923077,0.954275,-5.06337330769231
3.2 sec,-0.0227654583333333,2.64076733333333,-0.0289499583333333,313228,313228000,-0.109846,1.08596083333333,0.007721,14.01429175,0.905450375,-5.09633979166667,-0.0338959166666667,3.51206041666667,0.185034291666667,-0.128276125,1.5848965,0.0771924166666667,13.9696860833333,1.07342925,-5.05958275
3.3 sec,-0.0195832307692308,2.73615284615385,0.111308615384615,313328,313328000,-0.110761,1.35250884615385,0.0111163846153846,14.0038356923077,1.02004061538462,-5.09873653846154,-0.0254833846153846,3.56558461538462,0.206562384615385,-0.124358769230769,1.888749,0.0827216153846154,13.9618570769231,1.21758069230769,-5.05589053846154
3.4 sec,0.0191895416666667,2.75923479166667,0.124306958333333,313428,313428000,-0.111748208333333,1.62305620833333,0.0200442916666667,13.9932781666667,1.15999929166667,-5.10089808333333,-0.01593125,3.624662375,0.2043855,-0.120042833333333,2.18626383333333,0.0878764166666667,13.9542494166667,1.38390108333333,-5.05229358333333
3.5 sec,0.0285329230769231,2.69628,0.086993,313528,313528000,-0.111106846153846,1.89242869230769,0.0282943076923077,13.9826070769231,1.329157,-5.101886,-0.00964384615384615,3.68349030769231,0.198751846153846,-0.115308153846154,2.47620761538462,0.0917167692307692,13.946859,1.57409553846154,-5.04879053846154
